0ward,1area,2may16,3may12,4edu,5age,6gender,7xcoord,8ycoord,9income,10populationsize
E05000557,11,0.308337009263,0.212325220093,2.57822410148,49.1808387841,0.520713750936,-0.194000774188,51.3480307053,44.26,8014.0
E05000558,11,0.400828347906,0.26043956044,2.4243635879,47.8787005502,0.516683647478,-0.169652151644,51.3643783044,42.2,7852.0
E05000559,11,0.331818181818,0.241653418124,2.41114542392,49.9728747204,0.520915121159,-0.163219784025,51.3403712366,44.27,7387.0
E05000560,11,0.286898839138,0.200664136622,2.52314016709,51.9935483871,0.522481788495,-0.215985620158,51.3478816189,46.22,7962.0
E05000561,11,0.311721769,0.256215119229,2.16734641856,50.4503712871,0.511856287425,-0.232488851498,51.3704970635,42.64,8350.0
E05000562,11,0.556952081697,0.487226277372,1.7232495069,45.2035175879,0.535833814195,-0.18341112561,51.3822477778,31.04,8665.0
E05000563,11,0.377401646844,0.298797939325,2.0,48.9675949367,0.514621314083,-0.210081665975,51.3788336235,39.21,8173.0
E05000564,11,0.534385569335,0.435326842837,2.25077939893,44.7320392946,0.513898460832,-0.190492793141,51.3653070008,35.66,8706.0
E05000565,11,0.405555555556,0.317194289261,2.05864156019,49.4928099495,0.527826522938,-0.19329945962,51.3749800514,38.06,7978.0
E05000566,11,0.422783323547,0.293042867182,2.58494915254,48.0105907873,0.513318396814,-0.187127959304,51.3560830649,40.46,8034.0
E05000567,11,0.412790697674,0.314573459716,2.54055791233,46.8095470639,0.515133531157,-0.2052219638,51.3623250656,41.61,8425.0
E05000568,11,0.416666666667,0.326516220028,1.97725131242,47.0010508341,0.518579581484,-0.168968894474,51.3744659236,36.79,7885.0
E05000569,11,0.42478327384,0.32870864461,2.27508672748,46.9809928723,0.520513130824,-0.150889539576,51.3672317819,38.71,8263.0
E05000570,11,0.38791322314,0.314864144912,2.27814829345,49.6137931034,0.531095143707,-0.149936471699,51.3545527161,37.96,8072.0
E05000571,11,0.529538904899,0.445643793369,1.89276373147,44.0520692619,0.530881659595,-0.165294578457,51.3849677985,32.33,8484.0
E05000572,11,0.363598150483,0.276418532015,2.2841141756,46.7702547625,0.522249552773,-0.232238393539,51.3801587996,40.61,8944.0
E05000170,12,0.630784708249,0.495987772258,2.64705314942,43.1900343643,0.498674838496,-0.27070400086,51.5148962941,36.5,12074.0
E05000171,12,0.51841595126,0.400802221537,2.77552852014,46.4049803408,0.527117721749,-0.322785681074,51.5235564797,41.73,11026.0
E05000172,12,0.753234750462,0.807744107744,1.98941256831,44.9987945756,0.507124975929,-0.361554227404,51.5158788246,29.35,10386.0
E05000173,12,0.43963963964,0.295667244367,3.20235719038,44.1413820492,0.508008178565,-0.309602469043,51.517063861,45.54,11738.0
E05000174,12,0.498660415271,0.343029845108,2.98436595252,43.9199535963,0.500687521485,-0.295502117003,51.5068591503,43.6,11636.0
E05000175,12,0.680730478589,0.533308099924,2.58138206739,40.9332386364,0.489402173913,-0.260594757967,51.521606024,32.93,14720.0
E05000176,12,0.644851116625,0.533682634731,2.60393174334,43.8142299664,0.517725517726,-0.33396924759,51.5050287548,38.97,11396.0
E05000177,12,0.691933028919,0.632487309645,2.06235294118,44.639515422,0.520318969483,-0.363301128421,51.5322805096,30.5,13042.0
E05000178,12,0.561743341404,0.510272693313,2.28711790393,45.0935062494,0.499637221114,-0.348603053696,51.5423224045,35.42,11026.0
E05000179,12,0.411311053985,0.296971908063,3.027060505,45.5143957148,0.51217730151,-0.293032021681,51.5261991486,44.76,12318.0
E05000180,12,0.647891658972,0.521611001965,2.3585355286,45.8851146901,0.531744536549,-0.340761734656,51.5193889923,36.22,10616.0
E05000181,12,0.726175742574,0.776588628763,2.10836437521,44.9090287278,0.492507960292,-0.370631699955,51.5230285047,32.52,10678.0
E05000183,12,0.567111959288,0.542168674699,2.31285273134,44.9139314369,0.494023554227,-0.332930829201,51.5504247926,36.48,11378.0
E05000182,12,0.544147843943,0.412476129854,3.06883424221,44.4329867404,0.503800519095,-0.315214433692,51.4984860172,48.48,10788.0
E05000184,12,0.610745614035,0.539879608728,2.0525336091,44.9352531352,0.519678714859,-0.371703777829,51.5485001261,31.95,11205.0
E05000185,12,0.684786445464,0.638602065131,1.85559983221,44.6169374219,0.522645512407,-0.3940441355,51.5383144734,28.55,10841.0
E05000186,12,0.725943556613,0.754807692308,2.08061749571,44.7469387755,0.491383325571,-0.360932177575,51.5021534353,29.02,10735.0
E05000187,12,0.564262295082,0.508559919436,2.31941544885,44.6320041699,0.484413074532,-0.323455342729,51.5356439701,36.04,11901.0
