"","ELmap$GSS_CODE"
"560","E05000232"
"561","E05000241"
"562","E05000240"
"563","E05000248"
"564","E05000237"
"565","E05000233"
"566","E05000234"
"567","E05000243"
"568","E05000246"
"569","E05000272"
"570","E05000271"
"571","E05000270"
"572","E05000267"
"573","E05000269"
"574","E05000279"
"575","E05000274"
"576","E05000273"
"577","E05000266"
"578","E05000275"
"579","E05000284"
"580","E05000277"
"581","E05000278"
"582","E05000280"
"583","E05000282"
"584","E05000281"
"585","E05000283"
"586","E05000268"
"587","E05000276"
"588","E05000491"
"589","E05000477"
"590","E05000475"
"591","E05000482"
"592","E05000492"
"593","E05000478"
"594","E05000479"
"595","E05000490"
"596","E05000494"
"597","E05000489"
"598","E05000484"
"599","E05000476"
"600","E05000480"
"601","E05000486"
"602","E05000485"
"603","E05000481"
"604","E05000493"
"605","E05000483"
"606","E05000488"
"607","E05000487"
"608","E05000032"
"609","E05000039"
"610","E05000038"
"611","E05000041"
"612","E05000026"
"613","E05000035"
"614","E05000031"
"615","E05000033"
"616","E05000036"
"617","E05000028"
"618","E05000027"
"619","E05000040"
"620","E05000034"
"621","E05000042"
"622","E05000030"
"623","E05000029"
"624","E05000037"
"625","E05000010"
"626","E05000018"
"627","E05000017"
"628","E05000015"
"629","E05000019"
"630","E05000023"
"631","E05000005"
"632","E05000022"
"633","E05000024"
"634","E05000013"
"635","E05000006"
"636","E05000011"
"637","E05000003"
"638","E05000001"
"639","E05000016"
"640","E05000007"
"641","E05000004"
"642","E05000025"
"643","E05000014"
"644","E05000020"
"645","E05000002"
"646","E05000008"
"647","E05000012"
"648","E05000021"
"649","E05000009"
